"Handle","Title","Body (HTML)","Type","Published","Option1 Name","Option1 Value","Variant Price","Variant Inventory Qty","Image Src","Image Position","Image Alt"
"09-camel-cream-charcoal-colourblock-dress","Dune Colourblock Dress","<p>Camel, cream and charcoal in quiet colourblock panels.</p>
<p>A below-the-knee midi that structures an outfit on its own.</p>","Dresses","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/09-camel-cream-charcoal-colourblock-dress/01-front-view.jpg","1","Dune Colourblock Dress - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/09-camel-cream-charcoal-colourblock-dress/02-three-quarter-front-view.jpg","2","Dune Colourblock Dress - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/09-camel-cream-charcoal-colourblock-dress/03-side-view.jpg","3","Dune Colourblock Dress - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/09-camel-cream-charcoal-colourblock-dress/04-back-view.jpg","4","Dune Colourblock Dress - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/09-camel-cream-charcoal-colourblock-dress/05-close-up-detail.jpg","5","Dune Colourblock Dress - close-up detail"
"10-ivory-floral-embroidered-v-neck-dress","Chamomile Dress","<p>An ivory dress embroidered all over with tiny multicolour flowers, softened by a V-neckline.</p>
<p>The kind of dress that carries a day out by itself.</p>","Dresses","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/10-ivory-floral-embroidered-v-neck-dress/01-front-view.jpg","1","Chamomile Dress - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/10-ivory-floral-embroidered-v-neck-dress/02-three-quarter-front-view.jpg","2","Chamomile Dress - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/10-ivory-floral-embroidered-v-neck-dress/03-side-view.jpg","3","Chamomile Dress - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/10-ivory-floral-embroidered-v-neck-dress/04-back-view.jpg","4","Chamomile Dress - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/10-ivory-floral-embroidered-v-neck-dress/05-close-up-detail.jpg","5","Chamomile Dress - close-up detail"
"11-coral-cutwork-mock-neck-long-dress","Coral Cutwork Maxi","<p>Coral cutwork in bands down a long, mock-neck silhouette.</p>
<p>Airy because of the openwork, dramatic because of the length.</p>","Dresses","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/11-coral-cutwork-mock-neck-long-dress/01-front-view.jpg","1","Coral Cutwork Maxi - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/11-coral-cutwork-mock-neck-long-dress/02-three-quarter-front-view.jpg","2","Coral Cutwork Maxi - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/11-coral-cutwork-mock-neck-long-dress/03-side-view.jpg","3","Coral Cutwork Maxi - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/11-coral-cutwork-mock-neck-long-dress/04-back-view.jpg","4","Coral Cutwork Maxi - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/11-coral-cutwork-mock-neck-long-dress/05-close-up-detail.jpg","5","Coral Cutwork Maxi - close-up detail"
"12-hot-pink-high-low-shirt-set","High Notes Shirt Set","<p>A hot-pink shirt with a high-low hem over matching trousers.</p>
<p>Two pieces, one statement.</p>","Co-ord Sets","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/12-hot-pink-high-low-shirt-set/01-front-view.jpg","1","High Notes Shirt Set - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/12-hot-pink-high-low-shirt-set/02-three-quarter-front-view.jpg","2","High Notes Shirt Set - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/12-hot-pink-high-low-shirt-set/03-side-view.jpg","3","High Notes Shirt Set - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/12-hot-pink-high-low-shirt-set/04-back-view.jpg","4","High Notes Shirt Set - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/12-hot-pink-high-low-shirt-set/05-close-up-detail.jpg","5","High Notes Shirt Set - close-up detail"
"13-deep-red-geometric-print-set","Tile & Terra Set","<p>Deep red printed with a fine geometric border, cut as a kurta-and-trouser set.</p>
<p>Quietly festive.</p>","Co-ord Sets","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/13-deep-red-geometric-print-set/01-front-view.jpg","1","Tile & Terra Set - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/13-deep-red-geometric-print-set/02-three-quarter-front-view.jpg","2","Tile & Terra Set - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/13-deep-red-geometric-print-set/03-side-view.jpg","3","Tile & Terra Set - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/13-deep-red-geometric-print-set/04-back-view.jpg","4","Tile & Terra Set - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/13-deep-red-geometric-print-set/05-close-up-detail.jpg","5","Tile & Terra Set - close-up detail"
"14-pale-yellow-split-neck-tunic-set","First Light Tunic Set","<p>A pale-yellow tunic set with a split neck and delicate cutwork trim.</p>
<p>Soft colour, soft lines.</p>","Co-ord Sets","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/14-pale-yellow-split-neck-tunic-set/01-front-view.jpg","1","First Light Tunic Set - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/14-pale-yellow-split-neck-tunic-set/02-three-quarter-front-view.jpg","2","First Light Tunic Set - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/14-pale-yellow-split-neck-tunic-set/03-side-view.jpg","3","First Light Tunic Set - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/14-pale-yellow-split-neck-tunic-set/04-back-view.jpg","4","First Light Tunic Set - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/14-pale-yellow-split-neck-tunic-set/05-close-up-detail.jpg","5","First Light Tunic Set - close-up detail"
"15-navy-shibori-yellow-polka-set","Night Sky Polka Set","<p>Navy shibori texture dotted with yellow polka, as a shirt-and-trouser set.</p>
<p>The print does the talking.</p>","Co-ord Sets","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/15-navy-shibori-yellow-polka-set/01-front-view.jpg","1","Night Sky Polka Set - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/15-navy-shibori-yellow-polka-set/02-three-quarter-front-view.jpg","2","Night Sky Polka Set - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/15-navy-shibori-yellow-polka-set/03-side-view.jpg","3","Night Sky Polka Set - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/15-navy-shibori-yellow-polka-set/04-back-view.jpg","4","Night Sky Polka Set - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/15-navy-shibori-yellow-polka-set/05-close-up-detail.jpg","5","Night Sky Polka Set - close-up detail"
"16-pink-striped-fringe-a-line-dress","Carnation Fringe Dress","<p>Pink-and-white stripes on an A-line that finishes in a fringe.</p>
<p>It moves with every step.</p>","Dresses","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/16-pink-striped-fringe-a-line-dress/01-front-view.jpg","1","Carnation Fringe Dress - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/16-pink-striped-fringe-a-line-dress/02-three-quarter-front-view.jpg","2","Carnation Fringe Dress - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/16-pink-striped-fringe-a-line-dress/03-side-view.jpg","3","Carnation Fringe Dress - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/16-pink-striped-fringe-a-line-dress/04-back-view.jpg","4","Carnation Fringe Dress - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/16-pink-striped-fringe-a-line-dress/05-close-up-detail.jpg","5","Carnation Fringe Dress - close-up detail"
"17-navy-ochre-small-floral-square-neck-dress","Night Garden Dress","<p>A navy ground scattered with small ochre flowers, a square neck and short puffed sleeves.</p>
<p>An easy everyday dress with a romantic streak.</p>","Dresses","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/17-navy-ochre-small-floral-square-neck-dress/01-front-view.jpg","1","Night Garden Dress - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/17-navy-ochre-small-floral-square-neck-dress/02-three-quarter-front-view.jpg","2","Night Garden Dress - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/17-navy-ochre-small-floral-square-neck-dress/03-side-view.jpg","3","Night Garden Dress - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/17-navy-ochre-small-floral-square-neck-dress/04-back-view.jpg","4","Night Garden Dress - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/17-navy-ochre-small-floral-square-neck-dress/05-close-up-detail.jpg","5","Night Garden Dress - close-up detail"
"18-cream-teal-mustard-halter-floral-dress","Meadowlark Halter Dress","<p>Cream, teal and mustard florals on a halter dress that ties at the neck.</p>
<p>Made for warm evenings.</p>","Dresses","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/18-cream-teal-mustard-halter-floral-dress/01-front-view.jpg","1","Meadowlark Halter Dress - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/18-cream-teal-mustard-halter-floral-dress/02-three-quarter-front-view.jpg","2","Meadowlark Halter Dress - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/18-cream-teal-mustard-halter-floral-dress/03-side-view.jpg","3","Meadowlark Halter Dress - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/18-cream-teal-mustard-halter-floral-dress/04-back-view.jpg","4","Meadowlark Halter Dress - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/18-cream-teal-mustard-halter-floral-dress/05-close-up-detail.jpg","5","Meadowlark Halter Dress - close-up detail"
